t,CPU,RxKBTot,TxKBTot,WriteKBTot,Watts,Amps,RMS,diff_encoder_l,flag
160.16,27.68,0.16,0,0,86.93782761,0.627865191,0.102799012,7.694813764,0
160.18,27.64,0.18,0,0,87.27384372,0.627784708,0.131910343,7.714760571,0
160.2,27.6,0.2,0,0,87.60985983,0.627704225,0.171747902,7.734707379,0
160.22,27.56,0.22,0,0,87.94587594,0.627623742,0.269091866,7.754654186,0
160.24,27.52,0.24,0,0,88.28189205,0.627543259,0.309013811,7.774600994,0
160.26,27.48,0.26,0,0,88.61790816,0.627462776,0.202504991,7.794547802,0
160.28,27.44,0.28,0,0,88.95392427,0.627382294,0.13146173,7.814494609,0
160.3,27.4,0.3,0,0,89.28994039,0.627301811,0.176747305,7.834441417,0
160.32,27.36,0.32,0,0,89.6259565,0.627221328,0.157711002,7.854388225,0
160.34,27.32,0.34,0,0,89.96197261,0.627140845,0.10426772,7.874335032,0
160.36,27.28,0.36,0,0,90.29798872,0.627060362,0.123221156,7.89428184,0
160.38,27.24,0.38,0,0,90.63400483,0.626979879,0.140813341,7.914228647,0
160.4,27.2,0.4,0,0,90.97002094,0.626899396,0.131720208,7.934175455,0
160.42,27.16,0.42,0,0,91.30603705,0.626818913,0.252549071,7.954122263,0
160.44,27.12,0.44,0,0,91.64205316,0.62673843,0.231759191,7.97406907,0
160.46,27.08,0.46,0,0,91.97806927,0.626657947,0.186809567,7.994015878,0
160.48,27.04,0.48,0,0,92.31408538,0.626577465,0.308600799,20.13327548,0
160.5,27,0.5,0,0,92.65010149,0.626496982,0.150272792,31.8666921,0
160.52,26.96,0.52,0,0,92.9861176,0.626416499,0.155750138,21.20001526,0
160.54,26.92,0.54,0,0,93.32213371,0.626336016,0.195343077,21.73333079,0
160.56,26.88,0.56,0,0,93.65814983,0.626255533,0.142569188,25.87096714,0
160.58,26.84,0.58,0,0,93.99416594,0.62617505,0.157545315,25.22580374,0
160.6,26.8,0.6,0,0,94.33018205,0.626094567,0.142954227,25.43333386,0
